Feature,Importance,Cumulative_Importance
JobSatisfaction,0.17183036752246167,0.17183036752246167
WorkLifeBalance,0.14447551608364842,0.3163058836061101
Department,0.08924915889037799,0.4055550424964881
JobLevel,0.07532147015055844,0.48087651264704656
YearsAtCompany,0.07278343614630038,0.5536599487933469
DistanceFromHome,0.06524538167243275,0.6189053304657797
Tenure_Group_Encoded,0.06507414606713313,0.6839794765329128
TrainingHoursLastYear,0.06119180346283102,0.7451712799957438
EmployeeID,0.06087226832546762,0.8060435483212115
MonthlyIncome,0.060191675845502925,0.8662352241667144
Age,0.05796087771892594,0.9241961018856404
Age_Group_Encoded,0.047980430592768936,0.9721765324784093
OverTime,0.02220318074293119,0.9943797132213404
PromotionLast5Years,0.005620286778659527,1.0
